address,balance,share
0x8d1b002effcaac9c6505462c3e351071fdb40f16,2.75e+20,0
0x748a923e4a481a2a2cca77589698210c8f066ac6,2.6e+20,0
0x7de6449bb8b0fc4c41e02f8db2814a66a7e6ef9a,2.6e+20,0
0x89e44c19f2987818ab46c5676b7f04711e3f0a96,2.6e+20,0
0x1fd3d45e5232e76b9c11978f00c3776d19b1b789,2.6e+20,0
0x506067ff769557fbf9239f87b9cafbd522985a67,2.6e+20,0
0x2ef55611330a2122950229195351de503d35e245,2.6e+20,0
0x45700968813ab67f38727dce3a8aafe4e0e471c4,2.6e+20,0
0xcae324b61aaa6ee07e2135adb6ed7cd21126bfa5,2.6e+20,0
0x9ef3b33bd4bd2a678f222d7adcfe7b736f21b62c,2.6e+20,0
0xf4c8812cf6e50460643a0dbd48ce91de73268659,2.6e+20,0
0x103a83c3ef17d2313927f5648a0d8675b1549409,2.6e+20,0
0xdc347690d976a512d2025e76570e657dc80868d2,2.6e+20,0
0xba380acf3f56ac1a19e5a7d5d915a2a2bbc93934,2.6e+20,0
0x3cd191a170cce10db037a44cf7e6e3f874afa93b,2.6e+20,0
0x518a6a51d93f3afafbde57c04c818d2c34863a2d,2.6e+20,0
0x8d31438e0893363868633346aabee71a400e87fc,2.6e+20,0
0x478543f3d894a6947245fb4b3699b9109d089cd7,2.6e+20,0
0xc29b3417bd1a8bd0e406aed950a7ec85ab9d477f,2.6e+20,0
0xf231e5a07b7d1de49c7e3bf27626976fc1b70cc4,2.6e+20,0
0x2072dc440eaa06436ab60b7fc4c3c7365aae9cbd,2.6e+20,0
0x8e54fc46a7f5cd25c8d7faa50ff0c569e9409ad2,2.6e+20,0
0x52e08ce54273a3c9f624fc74d7967ac256162895,2.6e+20,0
0x99f3f55afbc106e6a4ed28b38ea6906ada718ad4,2.6e+20,0
0xe08ae6240befef5346f8ae4a720d853dea0a02f0,2.6e+20,0
0xf35f7618a3d95c8f0dfa604956838700286f1be9,2.6e+20,0
0x67c8179faab5596f3afa2d7af40c631f46bc49d6,2.6e+20,0
0x078de76beaefd94405f2ecb3446eeca1328c055b,2.6e+20,0
0xd8aad043a75781755ca736b01e32c988414c5948,2.6e+20,0
0x4dd2a8d27b0a1c67f22e7991e53e57e8849280d1,2.6e+20,0
0x96fe5ee2f11a2080c314a9f607d311ccefdca2db,2.6e+20,0
0xdfbba377a6d55d26d7dc6acd28279dc1f31308ed,2.6e+20,0
0xd2e5ca3c3a3da058ce30d3e06f7161d0da5bcf14,2.6e+20,0
0x7a96fe863b514a56f81cc65caa5c73f13396778b,2.6e+20,0
0x001df4a35db38d8ff9496e70a507e09b46c3dea6,2.6e+20,0
0xff31db2a732d7dcfef41fc45d78f0e0a1604e87f,2.55e+20,0
0xcedca88438c7cc85ab724a540b3c8fb4b4456d37,2.4e+20,0
0x9beadb6fad245d8b1d4604d43d2a6eec6f8fc02b,2.4e+20,0
0xb4631c95e026ad54afa1655b7e61ae6b8796cc87,2.4e+20,0
0xbb48cbff816fc8a2cd5ffc1c597b267d4337be73,2.4e+20,0
